"Player","Nation","Pos","Age","new_pound_value","Team","team_id","Fotmob_rating"
"Brahim Díaz","MAR","FW,MF","24","140192","Real Madrid","18","6.94"
"Raúl Asencio","ESP","DF","21","120192","Real Madrid","18","7.13"
"Fran Garcia","ESP","DF","24","100192","Real Madrid","18","7.15"
"Arda Güler","TUR","MF,FW","19","100000","Real Madrid","18","7.2"
"Andriy Lunin","UKR","GK","25","86538","Real Madrid","18","6.82"
"Endrick","BRA","CF","18","80000","Real Madrid","18","6.16"
"Jesús Vallejo","ESP","DF","27","34615","Real Madrid","18","6.11"
"Jan Oblak","SVN","GK","31","400577","Atlético Madrid","19","7.05"
"Antoine Griezmann","FRA","FW,MF","33","240385","Atlético Madrid","19","7.22"
"Conor Gallagher","ENG","MF","24","173077","Atlético Madrid","19","6.93"
"Marcos Llorente","ESP","DF,MF","29","160192","Atlético Madrid","19","7.28"
"Axel Witsel","BEL","DF","35","160192","Atlético Madrid","19","6.97"
"César Azpilicueta","ESP","DF","34","153846","Atlético Madrid","19","6.96"
"Julián Álvarez","ARG","FW,MF","24","136154","Atlético Madrid","19","7.13"
"Rodrigo De Paul","ARG","MF","30","128269","Atlético Madrid","19","6.99"
"Koke","ESP","MF","32","128269","Atlético Madrid","19","6.9"
"Robin Le Normand","ESP","DF","27","120192","Atlético Madrid","19","6.85"
"José María Giménez","URU","DF","29","120192","Atlético Madrid","19","6.79"
"Alexander Sørloth","NOR","FW","28","120000","Atlético Madrid","19","6.97"
